draw,date,winning number 1,2,3,4,5,6,extra number,from last,low,high,odd,even,1-10,11-20,21-30,31-40,41-50,division 1 winners,division 1 prize,division 2 winners,division 2 prize,division 3 winners,division 3 prize,division 4 winners,division 4 prize,division 5 winners,division 5 prize,division 6 winners,division 6 prize,division 7 winners,division 7 prize,turnover,main1,main2,main3,main4,main5,main6,extra
08/043,2008-04-15,8.0,25.0,31.0,38.0,43.0,48.0,23.0,38,1.0,5.0,3.0,3.0,1.0,0.0,1.0,2.0,2.0,1.0,30114710.0,3.0,1123855.0,249.0,36105.0,709.0,4800.0,13569.4,320.0,18977.8,160.0,247293.8,20.0,74866457.0,8,,,,,,
08/044,2008-04-17,7.0,10.0,11.0,27.0,31.0,48.0,5.0,"31,48",3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5000000.0,0.0,0.0,86.0,33690.0,353.0,4800.0,5912.8,320.0,9425.8,160.0,103581.6,20.0,28012831.0,7,,,,,,
08/045,2008-04-19,7.0,10.0,16.0,19.0,42.0,46.0,20.0,"7,10",4.0,2.0,2.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,5000000.0,2.0,534600.0,63.0,45255.0,250.0,4800.0,3983.0,320.0,7907.0,160.0,75511.8,20.0,24227575.0,7,,,,,,
08/046,2008-04-22,8.0,14.0,31.0,36.0,40.0,46.0,9.0,46,2.0,4.0,1.0,5.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,77.0,51850.0,221.0,4800.0,4382.0,320.0,7011.0,160.0,82636.0,20.0,30011998.0,8,,,,,,
08/047,2008-04-24,8.0,12.0,13.0,25.0,31.0,35.0,21.0,"8,31",3.0,3.0,4.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,10.0,146585.0,141.0,27720.0,376.4,4800.0,7887.0,320.0,9506.6,160.0,133557.8,20.0,35669871.0,8,,,,,,
08/048,2008-04-26,13.0,15.0,17.0,19.0,24.0,32.0,9.0,13,5.0,1.0,4.0,2.0,0.0,4.0,1.0,1.0,0.0,2.0,8290775.0,3.0,631850.0,145.0,34860.0,346.0,4800.0,6220.2,320.0,10135.8,160.0,114980.6,20.0,39739856.0,13,,,,,,
08/049,2008-04-29,20.0,22.0,24.0,25.0,40.0,41.0,35.0,24,3.0,3.0,2.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,68.0,58935.0,195.4,4800.0,4438.4,320.0,6099.4,160.0,80884.4,20.0,29560311.0,20,,,,,,
08/050,2008-05-03,1.0,3.0,4.0,5.0,37.0,39.0,8.0,,4.0,2.0,5.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,10225480.0,4.0,310205.0,203.0,16300.0,761.8,4800.0,11669.6,320.0,17186.4,160.0,148307.0,20.0,41106047.0,1,,,,,,
08/051,2008-05-06,7.0,8.0,13.0,26.0,28.0,49.0,17.0,,3.0,3.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,1.0,5000000.0,1.0,1154850.0,135.0,22810.0,269.8,4800.0,7145.4,320.0,8042.0,160.0,126012.2,20.0,29350013.0,7,,,,,,
08/052,2008-05-08,16.0,24.0,31.0,35.0,37.0,49.0,39.0,49,2.0,4.0,4.0,2.0,0.0,1.0,1.0,3.0,1.0,1.0,5000000.0,1.0,1387905.0,62.0,59690.0,184.0,4800.0,3619.8,320.0,5167.0,160.0,69241.4,20.0,26705366.0,16,,,,,,
08/053,2008-05-10,5.0,6.0,27.0,41.0,47.0,49.0,40.0,49,2.0,4.0,5.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,66.0,49825.0,159.0,4800.0,3561.0,320.0,4768.0,160.0,68513.2,20.0,24204565.0,5,,,,,,
08/054,2008-05-13,8.0,19.0,26.0,34.0,37.0,40.0,29.0,,2.0,4.0,2.0,4.0,1.0,1.0,1.0,3.0,0.0,3.0,3793175.0,4.0,428855.0,86.0,53190.0,247.0,4800.0,4640.8,320.0,6712.6,160.0,95661.2,20.0,33750385.0,8,,,,,,
08/055,2008-05-15,7.0,21.0,22.0,38.0,45.0,47.0,40.0,,3.0,3.0,4.0,2.0,1.0,0.0,2.0,1.0,2.0,1.0,5000000.0,0.0,0.0,54.0,65165.0,142.0,4800.0,4131.0,320.0,4731.4,160.0,80018.4,20.0,25979053.0,7,,,,,,
08/056,2008-05-17,3.0,18.0,24.0,45.0,46.0,48.0,31.0,45,3.0,3.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,646665.0,45.0,76640.0,150.0,4800.0,3368.0,320.0,4574.4,160.0,68175.8,20.0,24755909.0,3,,,,,,
08/057,2008-05-20,1.0,4.0,6.0,23.0,25.0,47.0,49.0,,4.0,2.0,4.0,2.0,3.0,0.0,2.0,0.0,1.0,2.0,13369550.0,4.0,561590.0,197.0,30405.0,621.0,4800.0,10964.6,320.0,15337.0,160.0,195750.0,20.0,54287613.0,1,,,,,,
08/058,2008-05-22,1.0,19.0,23.0,29.0,34.0,41.0,15.0,"1,23",3.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,45.0,81090.0,158.2,4800.0,3328.6,320.0,4769.0,160.0,69794.0,20.0,25941473.0,1,,,,,,
08/059,2008-05-24,1.0,5.0,12.0,14.0,19.0,31.0,45.0,"1,19",5.0,1.0,4.0,2.0,2.0,3.0,0.0,1.0,0.0,1.0,10181005.0,3.0,423620.0,170.0,19935.0,249.0,4800.0,7847.6,320.0,6303.0,160.0,119109.0,20.0,30384206.0,1,,,,,,
08/060,2008-05-27,22.0,23.0,24.0,28.0,29.0,43.0,6.0,,3.0,3.0,3.0,3.0,0.0,0.0,5.0,0.0,1.0,1.0,5000000.0,4.0,283400.0,186.0,16250.0,308.0,4800.0,6157.6,320.0,7650.8,160.0,92565.8,20.0,27461285.0,22,,,,,,
08/061,2008-05-29,1.0,6.0,27.0,39.0,44.0,49.0,36.0,,2.0,4.0,4.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0,1173100.0,63.0,49655.0,246.0,4800.0,3952.0,320.0,6558.2,160.0,79580.8,20.0,25334297.0,1,,,,,,
08/062,2008-05-31,11.0,26.0,31.0,34.0,36.0,42.0,13.0,,1.0,5.0,2.0,4.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,430375.0,76.4,45065.0,290.2,4800.0,5030.6,320.0,8200.8,160.0,93970.2,20.0,28987230.0,11,,,,,,
08/063,2008-06-03,5.0,32.0,33.0,40.0,41.0,49.0,30.0,,1.0,5.0,4.0,2.0,1.0,0.0,0.0,3.0,2.0,2.0,15394260.0,2.0,1798085.0,272.0,35255.0,682.0,4800.0,13338.0,320.0,19744.0,160.0,243019.6,20.0,77605156.0,5,,,,,,
08/064,2008-06-07,6.0,11.0,14.0,23.0,39.0,45.0,10.0,,4.0,2.0,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,1666665.0,1.0,739195.0,124.0,27815.0,266.0,4800.0,5707.6,320.0,7982.0,160.0,100186.2,20.0,29372124.0,6,,,,,,
08/065,2008-06-10,2.0,7.0,11.0,20.0,29.0,45.0,48.0,"11,45",4.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,316300.0,126.0,26775.0,196.0,4800.0,5562.4,320.0,4830.0,160.0,95886.4,20.0,27185578.0,2,,,,,,
08/066,2008-06-12,4.0,6.0,9.0,15.0,22.0,37.0,3.0,,5.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,177525.0,124.0,22905.0,487.0,4800.0,7164.4,320.0,13663.6,160.0,128380.8,20.0,31828362.0,4,,,,,,
08/067,2008-06-14,3.0,15.0,19.0,40.0,41.0,44.0,13.0,15,3.0,3.0,4.0,2.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1778940.0,78.0,60815.0,208.0,4800.0,4283.4,320.0,6789.0,160.0,87164.6,20.0,33761447.0,3,,,,,,
08/068,2008-06-17,3.0,5.0,6.0,13.0,31.0,32.0,15.0,3,4.0,2.0,4.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,18784070.0,0.0,0.0,241.0,19370.0,603.2,4800.0,11745.2,320.0,14350.0,160.0,196178.6,20.0,47589376.0,3,,,,,,
08/069,2008-06-19,2.0,11.0,18.0,26.0,39.0,45.0,24.0,,3.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1361165.0,99.0,36660.0,195.0,4800.0,4736.8,320.0,6148.6,160.0,88174.6,20.0,28094355.0,2,,,,,,
08/070,2008-06-21,1.0,5.0,13.0,29.0,34.0,44.0,25.0,,3.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1497715.0,94.0,42485.0,232.0,4800.0,5164.2,320.0,6842.0,160.0,100906.2,20.0,31206068.0,1,,,,,,
08/071,2008-06-24,8.0,9.0,22.0,27.0,29.0,42.0,38.0,29,3.0,3.0,3.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,4.0,740105.0,287.0,27505.0,761.0,4800.0,15943.6,320.0,20954.8,160.0,269268.0,20.0,72557412.0,8,,,,,,
08/072,2008-06-27,8.0,33.0,39.0,40.0,46.0,48.0,24.0,8,1.0,5.0,2.0,4.0,1.0,0.0,0.0,3.0,2.0,1.0,41873410.0,2.0,2165350.0,235.0,49140.0,663.0,4800.0,13988.0,320.0,21051.4,160.0,268609.8,20.0,89121813.0,8,,,,,,
08/073,2008-06-29,1.0,2.0,7.0,19.0,28.0,34.0,5.0,,4.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,160115.0,81.4,20980.0,387.0,4800.0,5107.2,320.0,9801.0,160.0,85215.6,20.0,21215564.0,1,,,,,,
08/074,2008-07-02,3.0,21.0,26.0,29.0,31.0,48.0,1.0,,2.0,4.0,4.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,6.0,272590.0,87.0,50130.0,225.0,4800.0,4772.4,320.0,7554.0,160.0,96073.8,20.0,32813665.0,3,,,,,,
08/075,2008-07-05,2.0,6.0,7.0,15.0,20.0,38.0,14.0,,5.0,1.0,2.0,4.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,464215.0,159.0,31140.0,440.8,4800.0,10008.0,320.0,12081.2,160.0,174371.0,20.0,45078248.0,2,,,,,,
08/076,2008-07-08,15.0,18.0,19.0,21.0,24.0,26.0,36.0,15,5.0,1.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,1.0,24237205.0,2.0,1459985.0,188.0,41415.0,415.0,4800.0,9035.6,320.0,12937.8,160.0,169229.6,20.0,58758896.0,15,,,,,,
08/077,2008-07-10,5.0,12.0,17.0,18.0,41.0,44.0,32.0,18,4.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,678460.0,54.0,67005.0,187.0,4800.0,3674.0,320.0,5629.8,160.0,77644.0,20.0,26792142.0,5,,,,,,
08/078,2008-07-12,5.0,21.0,25.0,27.0,38.0,40.0,11.0,5,2.0,4.0,4.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,490245.0,90.0,43575.0,256.8,4800.0,4869.0,320.0,8108.4,160.0,92418.2,20.0,30946498.0,5,,,,,,
